all_comm
slot_id,slot_loss,updated,num_agent_outputs,chosen_subset,avg_score,det_count,count_penalty,reward,num_active_nodes,message_type,fusion_mode,comm_cost,num_messages
0,0.24702973663806915,0,6,,0.0,0,0.0,0.0,6,,,0,30
1,0.23862797021865845,0,6,,0.0,0,0.0,0.0,6,,,0,30
2,0.27288106083869934,0,6,,0.0,0,0.0,0.0,6,,,0,30
3,0.25342661142349243,0,6,,0.0,0,0.0,0.0,6,,,0,30
4,0.242782860994339,0,6,,0.0,0,0.0,0.0,6,,,0,30
5,0.29346752166748047,0,6,,0.0,0,0.0,0.0,6,,,0,30
6,0.2540191411972046,0,6,,0.0,0,0.0,0.0,6,,,0,30
7,0.2259199023246765,0,6,,0.0,0,0.0,0.0,6,,,0,30
8,0.2469264417886734,0,6,,0.0,0,0.0,0.0,6,,,0,30
9,0.22849583625793457,0,6,,0.0,0,0.0,0.0,6,,,0,30
10,0.27774086594581604,0,6,,0.0,0,0.0,0.0,6,,,0,30
11,0.2699570059776306,0,6,,0.0,0,0.0,0.0,6,,,0,30
12,0.25307539105415344,0,6,,0.0,0,0.0,0.0,6,,,0,30
13,0.2558179199695587,0,6,,0.0,0,0.0,0.0,6,,,0,30
14,0.24060675501823425,0,6,,0.0,0,0.0,0.0,6,,,0,30
15,0.2811812162399292,0,6,,0.0,0,0.0,0.0,6,,,0,30
16,0.2754756212234497,0,6,,0.0,0,0.0,0.0,6,,,0,30
17,0.24926547706127167,0,6,,0.0,0,0.0,0.0,6,,,0,30
18,0.25937849283218384,0,6,,0.0,0,0.0,0.0,6,,,0,30
19,0.27836328744888306,0,6,,0.0,0,0.0,0.0,6,,,0,30
20,0.29097017645835876,0,6,,0.0,0,0.0,0.0,6,,,0,30
21,0.29533135890960693,0,6,,0.0,0,0.0,0.0,6,,,0,30
22,0.24787430465221405,0,6,,0.0,0,0.0,0.0,6,,,0,30
23,0.26087886095046997,0,6,,0.0,0,0.0,0.0,6,,,0,30
24,0.3222988247871399,0,6,,0.0,0,0.0,0.0,6,,,0,30
25,0.21682317554950714,0,6,,0.0,0,0.0,0.0,6,,,0,30
26,0.24841690063476562,0,6,,0.0,0,0.0,0.0,6,,,0,30
27,0.22794872522354126,0,6,,0.0,0,0.0,0.0,6,,,0,30
28,0.2804405093193054,0,6,,0.0,0,0.0,0.0,6,,,0,30
29,0.2855191230773926,0,6,,0.0,0,0.0,0.0,6,,,0,30
30,0.28545263409614563,0,6,,0.0,0,0.0,0.0,6,,,0,30
31,0.2791920304298401,0,6,,0.0,0,0.0,0.0,6,,,0,30
32,0.26290902495384216,0,6,,0.0,0,0.0,0.0,6,,,0,30
33,0.26132363080978394,0,6,,0.0,0,0.0,0.0,6,,,0,30
34,0.2323441505432129,0,6,,0.0,0,0.0,0.0,6,,,0,30
35,0.25212404131889343,0,6,,0.0,0,0.0,0.0,6,,,0,30
36,0.25482070446014404,0,6,,0.0,0,0.0,0.0,6,,,0,30
37,0.23500439524650574,0,6,,0.0,0,0.0,0.0,6,,,0,30
38,0.24466611444950104,0,6,,0.0,0,0.0,0.0,6,,,0,30
39,0.26694029569625854,0,6,,0.0,0,0.0,0.0,6,,,0,30

no_comm
slot_id,slot_loss,updated,num_agent_outputs,chosen_subset,avg_score,det_count,count_penalty,reward,num_active_nodes,message_type,fusion_mode,comm_cost,num_messages
0,1.191646695137024,0,6,,0.0,0,0.0,0.0,0,,,0,0
1,1.2181823253631592,0,6,,0.0,0,0.0,0.0,0,,,0,0
2,1.2528660297393799,0,6,,0.0,0,0.0,0.0,0,,,0,0
3,1.2099721431732178,0,6,,0.0,0,0.0,0.0,0,,,0,0
4,1.2613673210144043,0,6,,0.0,0,0.0,0.0,0,,,0,0
5,1.276302695274353,0,6,,0.0,0,0.0,0.0,0,,,0,0
6,1.188355803489685,0,6,,0.0,0,0.0,0.0,0,,,0,0
7,1.2211800813674927,0,6,,0.0,0,0.0,0.0,0,,,0,0
8,1.2453570365905762,0,6,,0.0,0,0.0,0.0,0,,,0,0
9,1.208830714225769,0,6,,0.0,0,0.0,0.0,0,,,0,0
10,1.287203073501587,0,6,,0.0,0,0.0,0.0,0,,,0,0
11,1.2034025192260742,0,6,,0.0,0,0.0,0.0,0,,,0,0
12,1.2915822267532349,0,6,,0.0,0,0.0,0.0,0,,,0,0
13,1.2353315353393555,0,6,,0.0,0,0.0,0.0,0,,,0,0
14,1.2292636632919312,0,6,,0.0,0,0.0,0.0,0,,,0,0
15,1.228967308998108,0,6,,0.0,0,0.0,0.0,0,,,0,0
16,1.2625491619110107,0,6,,0.0,0,0.0,0.0,0,,,0,0
17,1.2599339485168457,0,6,,0.0,0,0.0,0.0,0,,,0,0
18,1.2543678283691406,0,6,,0.0,0,0.0,0.0,0,,,0,0
19,1.2817617654800415,0,6,,0.0,0,0.0,0.0,0,,,0,0
20,1.2773244380950928,0,6,,0.0,0,0.0,0.0,0,,,0,0
21,1.271292805671692,0,6,,0.0,0,0.0,0.0,0,,,0,0
22,1.2249259948730469,0,6,,0.0,0,0.0,0.0,0,,,0,0
23,1.2915798425674438,0,6,,0.0,0,0.0,0.0,0,,,0,0
24,1.2485473155975342,0,6,,0.0,0,0.0,0.0,0,,,0,0
25,1.1896761655807495,0,6,,0.0,0,0.0,0.0,0,,,0,0
26,1.2431590557098389,0,6,,0.0,0,0.0,0.0,0,,,0,0
27,1.2102742195129395,0,6,,0.0,0,0.0,0.0,0,,,0,0
28,1.2848155498504639,0,6,,0.0,0,0.0,0.0,0,,,0,0
29,1.2836134433746338,0,6,,0.0,0,0.0,0.0,0,,,0,0
30,1.2842060327529907,0,6,,0.0,0,0.0,0.0,0,,,0,0
31,1.3612525463104248,0,6,,0.0,0,0.0,0.0,0,,,0,0
32,1.2760953903198242,0,6,,0.0,0,0.0,0.0,0,,,0,0
33,1.305789828300476,0,6,,0.0,0,0.0,0.0,0,,,0,0
34,1.1843708753585815,0,6,,0.0,0,0.0,0.0,0,,,0,0
35,1.204477310180664,0,6,,0.0,0,0.0,0.0,0,,,0,0
36,1.1967755556106567,0,6,,0.0,0,0.0,0.0,0,,,0,0
37,1.1772260665893555,0,6,,0.0,0,0.0,0.0,0,,,0,0
38,1.253288984298706,0,6,,0.0,0,0.0,0.0,0,,,0,0
39,1.2686558961868286,0,6,,0.0,0,0.0,0.0,0,,,0,0

latefusion
slot_id,slot_loss,updated,num_agent_outputs,chosen_subset,avg_score,det_count,count_penalty,reward,num_active_nodes,message_type,fusion_mode,comm_cost,num_messages
0,0.9488670825958252,0,6,,0.0,0,0.0,0.0,6,,,0,30
1,0.9449010491371155,0,6,,0.0,0,0.0,0.0,6,,,0,30
2,0.97921222448349,0,6,,0.0,0,0.0,0.0,6,,,0,30
3,0.9182778000831604,0,6,,0.0,0,0.0,0.0,6,,,0,30
4,0.9678124785423279,0,6,,0.0,0,0.0,0.0,6,,,0,30
5,0.9351809024810791,0,6,,0.0,0,0.0,0.0,6,,,0,30
6,0.9370678067207336,0,6,,0.0,0,0.0,0.0,6,,,0,30
7,0.9092451930046082,0,6,,0.0,0,0.0,0.0,6,,,0,30
8,1.029802918434143,0,6,,0.0,0,0.0,0.0,6,,,0,30
9,0.9439169764518738,0,6,,0.0,0,0.0,0.0,6,,,0,30
10,1.0220457315444946,0,6,,0.0,0,0.0,0.0,6,,,0,30
11,0.8863344192504883,0,6,,0.0,0,0.0,0.0,6,,,0,30
12,1.0404201745986938,0,6,,0.0,0,0.0,0.0,6,,,0,30
13,0.9489298462867737,0,6,,0.0,0,0.0,0.0,6,,,0,30
14,0.9235647916793823,0,6,,0.0,0,0.0,0.0,6,,,0,30
15,0.8924267292022705,0,6,,0.0,0,0.0,0.0,6,,,0,30
16,1.0054680109024048,0,6,,0.0,0,0.0,0.0,6,,,0,30
17,0.966254472732544,0,6,,0.0,0,0.0,0.0,6,,,0,30
18,0.9522314071655273,0,6,,0.0,0,0.0,0.0,6,,,0,30
19,0.9180939793586731,0,6,,0.0,0,0.0,0.0,6,,,0,30
20,0.9200952649116516,0,6,,0.0,0,0.0,0.0,6,,,0,30
21,0.9302775263786316,0,6,,0.0,0,0.0,0.0,6,,,0,30
22,0.9664371013641357,0,6,,0.0,0,0.0,0.0,6,,,0,30
23,0.9622818827629089,0,6,,0.0,0,0.0,0.0,6,,,0,30
24,1.0079985857009888,0,6,,0.0,0,0.0,0.0,6,,,0,30
25,0.9357700347900391,0,6,,0.0,0,0.0,0.0,6,,,0,30
26,1.0015761852264404,0,6,,0.0,0,0.0,0.0,6,,,0,30
27,0.9432998299598694,0,6,,0.0,0,0.0,0.0,6,,,0,30
28,0.9432418942451477,0,6,,0.0,0,0.0,0.0,6,,,0,30
29,0.9666076898574829,0,6,,0.0,0,0.0,0.0,6,,,0,30
30,0.9670898914337158,0,6,,0.0,0,0.0,0.0,6,,,0,30
31,1.0141289234161377,0,6,,0.0,0,0.0,0.0,6,,,0,30
32,0.9355109333992004,0,6,,0.0,0,0.0,0.0,6,,,0,30
33,1.0681902170181274,0,6,,0.0,0,0.0,0.0,6,,,0,30
34,0.950120210647583,0,6,,0.0,0,0.0,0.0,6,,,0,30
35,0.9504738450050354,0,6,,0.0,0,0.0,0.0,6,,,0,30
36,1.0840461254119873,0,6,,0.0,0,0.0,0.0,6,,,0,30
37,1.1022671461105347,0,6,,0.0,0,0.0,0.0,6,,,0,30
38,0.9985638856887817,0,6,,0.0,0,0.0,0.0,6,,,0,30
39,1.0041205883026123,0,6,,0.0,0,0.0,0.0,6,,,0,30

bandit
slot_id,slot_loss,updated,num_agent_outputs,chosen_subset,avg_score,det_count,count_penalty,reward,num_active_nodes,message_type,fusion_mode,comm_cost,num_messages
0,0.852768063545227,0,6,0,0.7400127053260803,88,0.0,-0.5160950442155202,1,,,0,5
1,0.7601287961006165,0,6,2,0.7623220682144165,191,1.1704545454545454,-0.7634374589631051,1,,,0,5
2,0.7982062697410583,0,6,4,0.7781674861907959,177,0.8006103763987793,-0.6826389728986275,1,,,0,5
3,0.5379193425178528,0,6,"0,2",0.7569615840911865,215,1.0250541584251673,-0.5336214646664764,2,,,0,10
4,0.5371212363243103,0,6,"1,3",0.7855191826820374,240,1.0503532587802107,-0.5261342892840215,2,,,0,10
5,0.5793089866638184,0,6,"2,4",0.8120430707931519,223,0.7240352940175975,-0.45716470613918836,2,,,0,10
6,0.46269792318344116,0,6,"0,5",0.7700352668762207,155,0.1174156583672481,-0.17957165392217192,2,,,0,10
7,0.3934376835823059,0,6,"0,2,4",0.8056615591049194,221,0.574728674427533,-0.26302550635810606,3,,,0,15
8,0.4825572371482849,0,6,"1,3,5",0.7988253235816956,244,0.6441220551391196,-0.37638119189917296,3,,,0,15
9,0.39855849742889404,0,6,"0,3,5",0.7826451063156128,238,0.5066464063147033,-0.2592298661654986,3,,,0,15
10,0.3899959623813629,0,6,"0,1,2,4",0.811872661113739,270,0.6267995009509566,-0.30543281544311374,4,,,0,20
11,0.3432229459285736,0,6,"0,2,4,5",0.8198049664497375,252,0.4287897318018354,-0.1952907155775888,4,,,0,20
12,0.25307539105415344,0,6,all,0.831561267375946,291,0.5820742335694545,-0.2119170274370168,6,,,0,30
13,0.6887456774711609,0,6,"0,5",0.8032318949699402,137,0.2961443002409755,-0.4426396867251501,2,,,0,10
14,0.40570133924484253,0,6,"0,2,4,5",0.8270494341850281,244,0.29183950478621373,-0.213061806921526,4,,,0,20
15,0.2811812162399292,0,6,all,0.8296642899513245,293,0.5072779650926637,-0.21853246079206606,6,,,0,30
16,0.46674644947052,0,6,"0,3,5",0.800735592842102,245,0.19950370234918907,-0.2262297637542257,3,,,0,15
17,0.4457339644432068,0,6,"0,2,4",0.806951642036438,242,0.16164073908749974,-0.19075036515123772,3,,,0,15
18,0.30974018573760986,0,6,"0,1,2,4",0.8225120902061462,251,0.18567688537050542,-0.08752053957902173,4,,,0,20
19,0.4508207142353058,0,6,"1,3,5",0.7973471879959106,256,0.18725143202702427,-0.20832254984545776,3,,,0,15
20,0.6579979062080383,0,6,"2,4",0.8004511594772339,196,0.10771871715271597,-0.35675460828190286,2,,,0,10
21,0.9197339415550232,0,6,0,0.7166228890419006,93,0.572011397882404,-0.7663592497321273,1,,,0,5
22,0.4435994029045105,0,6,"1,3",0.7841780185699463,241,0.1763789604845649,-0.1710907484315735,2,,,0,10
23,0.6118650436401367,0,6,"0,2",0.7554829120635986,199,0.04546905804203504,-0.3144309716876146,2,,,0,10
24,0.7874453067779541,0,6,4,0.7715652585029602,162,0.2193953243852856,-0.500814608175393,1,,,0,5
25,0.29753488302230835,0,6,"0,1,2,4",0.8337739109992981,242,0.19224578102932563,-0.07165499516479035,4,,,0,20
26,0.3359668552875519,0,6,"0,2,4,5",0.802931547164917,261,0.26159816234008104,-0.14631386374045105,4,,,0,20
27,0.22794872522354126,0,6,all,0.8443491458892822,268,0.26240972203928054,-0.08449706889068431,6,,,0,30
28,0.5313243269920349,0,6,"0,2,4",0.7950763702392578,216,0.008552007131151219,-0.23635174401175138,3,,,0,15
29,0.9144632816314697,0,6,2,0.7612688541412354,174,0.2006499565729266,-0.6273571748660633,1,,,0,5
30,0.49037644267082214,0,6,"0,3,5",0.791435182094574,177,0.170218497018637,-0.24572440072912627,3,,,0,15
31,0.4638017416000366,0,6,"1,3,5",0.8057770133018494,204,0.027080772722022816,-0.1690374667657188,3,,,0,15
32,0.46756941080093384,0,6,"0,5",0.7578688263893127,150,0.2826756454554422,-0.24010435790957682,2,,,0,10
33,0.6067575812339783,0,6,"1,3",0.7806258797645569,246,0.21063360502409825,-0.34630138952559597,2,,,0,10
34,0.30953559279441833,0,6,"0,1,2,4",0.8143505454063416,265,0.2772349660148949,-0.11886414322904938,4,,,0,20
35,0.6374589800834656,0,6,"2,4",0.8231077790260315,215,0.008293806655991994,-0.29505989923391407,2,,,0,10
36,0.25482070446014404,0,6,all,0.8399454355239868,234,0.09648943359630943,-0.06379481677704346,6,,,0,30
37,0.5644400715827942,0,6,"0,2",0.7703598737716675,207,0.03929833393387075,-0.25771630154378833,2,,,0,10
38,0.33018553256988525,0,6,"0,2,4,5",0.8332049250602722,263,0.22541731960094866,-0.1145415992533671,4,,,0,20
39,0.4895057678222656,0,6,"0,2,4",0.7942041754722595,268,0.22118656656100996,-0.25875965005443885,3,,,0,15
